Task_ID,Parent_ID,Package_ID,Phase_ID,Deliverable_ID,Work_Package_ID,Lifecycle_Stage,Title,Purpose,Plan_Status,Execution_State,Priority,Critical_Path,Dependencies,Dependency_Type,Trigger,Preconditions,Inputs,Output/Artifact,Acceptance_ID,Acceptance_Criteria,Verification_ID,Verification_Method,Evidence_ID,Evidence_Required,Evidence_Reference,Primary_Owner,AI_Capability_A0_A4,Action_Authority,Execution_Instructions,Required_Tools_or_Access,Idempotency,Reversibility,Retry_Recovery,Escalation_Condition,Risk_Reference,Interface_Reference,Requirement_Reference,Cost/Budget,Relative_Timing,Recurrence,Source_Reference,Legacy_ID,Notes
TSK-0001,WP-0001,PKG-01,PHS-0001,DEL-0001,WP-0001,L0,Backfill reusable AdGuard feasibility evidence,Produce and verify the bounded outcome: Backfill reusable AdGuard feasibility evidence.,DEFERRED,WAITING,MEDIUM,NO,TSK-0402,FINISH_TO_START unless explicitly stated as trigger/operating input,Applicable lifecycle/gate and all hard dependencies satisfied.,Canonical state read; current gate/authority confirmed; required inputs/access available; no unresolved safety/privacy blocker.,Canonical source baseline; predecessor context USW-00.03.01.004; dependency outputs; applicable requirements and interface contracts.,"Versioned artifact, decision, configuration, result, or evidence record for ""Backfill reusable AdGuard feasibility evidence"".",ACC-0001,Evidence note cites actual configuration/test output or explicitly records that original evidence cannot be recovered.,VER-0001,"Peer/reviewer inspection against the stated acceptance criteria, source baseline, dependencies, and required evidence.",EVD-0001,Artifact/version; exact environment or source; test/review output; date; responsible verifier; deviations and disposition.,EVD-0001; historical source evidence as cited,Network Engineering,A3,AUTO_ALLOWED,Read canonical state and linked requirements/interfaces; execute the smallest bounded change; verify every criterion; retain privacy-safe evidence; update state only when authorized; reread and reconcile after any canonical write.,GitHub; Markdown/CSV validator; task/governance automation; diff/checksum tools,REQUIRED where repeat execution is technically possible; otherwise detect existing state before change.,REVERSIBLE by default; treat public/production/data/legal/spend actions as controlled or irreversible as applicable.,Retry only after classifying failure and correcting cause; use bounded backoff for transient errors; rollback/restore on partial consequential change; never mark PASS on exhausted verification.,"Escalate on unmet authority, unresolved critical/high risk, contradictory source, acceptance failure after bounded retry, material scope/cost/privacy/security impact, or irreversible action.",RSK-0044,INT-0001; INT-0002,REQ-0001; REQ-0002; CON-0020; CON-0021,Use approved package/stage budget; record actual cost when material; no invented amount.,Current → Pre-Experiment,,UseSafeWeb_Master_Plan-1.4.md::USW-00.03.01.004; canonical repository Yaserbayad/UseSafeWeb.com@c672991229acc7675f1e25b978af6fbdacd04590,USW-00.03.01.004,Conditional work excluded from current critical path until its trigger and authority are satisfied. Valid conditional future work is preserved with an explicit trigger and is excluded from the current critical path.
TSK-0002,WP-0002,PKG-01,PHS-0002,DEL-0002,WP-0002,L0,Establish checkpoint and decision-record practice,Produce and verify the bounded outcome: Establish checkpoint and decision-record practice.,COMPLETED_EVIDENCE_INCOMPLETE,WAITING,MEDIUM,NO,TSK-0004,FINISH_TO_START unless explicitly stated as trigger/operating input,Applicable lifecycle/gate and all hard dependencies satisfied.,Canonical state read; current gate/authority confirmed; required inputs/access available; no unresolved safety/privacy blocker.,Canonical source baseline; predecessor context USW-00.02.02.003; dependency outputs; applicable requirements and interface contracts.,"Versioned artifact, decision, configuration, result, or evidence record for ""Establish checkpoint and decision-record practice"".",ACC-0002,A current-state file identifies authoritative status and supersedes stale status lines in older detailed files.,VER-0002,"Peer/reviewer inspection against the stated acceptance criteria, source baseline, dependencies, and required evidence.",EVD-0002,Artifact/version; exact environment or source; test/review output; date; responsible verifier; deviations and disposition.,EVD-0002; historical source evidence as cited,Project Governance,A3,AUTO_ALLOWED,Read canonical state and linked requirements/interfaces; execute the smallest bounded change; verify every criterion; retain privacy-safe evidence; update state only when authorized; reread and reconcile after any canonical write.,GitHub; Markdown/CSV validator; task/governance automation; diff/checksum tools,REQUIRED where repeat execution is technically possible; otherwise detect existing state before change.,REVERSIBLE by default; treat public/production/data/legal/spend actions as controlled or irreversible as applicable.,Retry only after classifying failure and correcting cause; use bounded backoff for transient errors; rollback/restore on partial consequential change; never mark PASS on exhausted verification.,"Escalate on unmet authority, unresolved critical/high risk, contradictory source, acceptance failure after bounded retry, material scope/cost/privacy/security impact, or irreversible action.",RSK-0044,INT-0001; INT-0002,REQ-0001; REQ-0002; CON-0020; CON-0021,Use approved package/stage budget; record actual cost when material; no invented amount.,Historical → Historical,,UseSafeWeb_Master_Plan-1.4.md::USW-00.02.02.003; canonical repository Yaserbayad/UseSafeWeb.com@c672991229acc7675f1e25b978af6fbdacd04590,USW-00.02.02.003,"Authoritative completion is preserved, but direct evidence must be backfilled before it can satisfy a direct-evidence successor. Historical completed work and evidence status are preserved under the package-first architecture."
TSK-0003,WP-0003,PKG-01,PHS-0002,DEL-0002,WP-0003,L0,Create canonical GitHub repository,Produce and verify the bounded outcome: Create canonical GitHub repository.,COMPLETED_RECORD,PASS,MEDIUM,NO,TSK-0005,FINISH_TO_START unless explicitly stated as trigger/operating input,Applicable lifecycle/gate and all hard dependencies satisfied.,Canonical state read; current gate/authority confirmed; required inputs/access available; no unresolved safety/privacy blocker.,Canonical source baseline; predecessor context USW-00.02.02.001; dependency outputs; applicable requirements and interface contracts.,"Versioned artifact, decision, configuration, result, or evidence record for ""Create canonical GitHub repository"".",ACC-0003,"Repository exists, is accessible, private, and uses main as the default branch.",VER-0003,"Peer/reviewer inspection against the stated acceptance criteria, source baseline, dependencies, and required evidence.",EVD-0003,Artifact/version; exact environment or source; test/review output; date; responsible verifier; deviations and disposition.,EVD-0003; historical source evidence as cited,Project Owner,A3,AUTO_ALLOWED,Read canonical state and linked requirements/interfaces; execute the smallest bounded change; verify every criterion; retain privacy-safe evidence; update state only when authorized; reread and reconcile after any canonical write.,GitHub; Markdown/CSV validator; task/governance automation; diff/checksum tools,REQUIRED where repeat execution is technically possible; otherwise detect existing state before change.,REVERSIBLE by default; treat public/production/data/legal/spend actions as controlled or irreversible as applicable.,Retry only after classifying failure and correcting cause; use bounded backoff for transient errors; rollback/restore on partial consequential change; never mark PASS on exhausted verification.,"Escalate on unmet authority, unresolved critical/high risk, contradictory source, acceptance failure after bounded retry, material scope/cost/privacy/security impact, or irreversible action.",RSK-0044,INT-0001; INT-0002,REQ-0001; REQ-0002; REQ-0003; CON-0020; CON-0021; CON-0024,Use approved package/stage budget; record actual cost when material; no invented amount.,Historical → Historical,,UseSafeWeb_Master_Plan-1.4.md::USW-00.02.02.001; canonical repository Yaserbayad/UseSafeWeb.com@c672991229acc7675f1e25b978af6fbdacd04590,USW-00.02.02.001,Completion preserved from authoritative project record. Historical completed work and evidence status are preserved under the package-first architecture.
TSK-0004,WP-0003,PKG-01,PHS-0002,DEL-0002,WP-0003,L0,Define authority and conflict precedence,Produce and verify the bounded outcome: Define authority and conflict precedence.,COMPLETED_RECORD,PASS,MEDIUM,NO,TSK-0003,FINISH_TO_START unless explicitly stated as trigger/operating input,Applicable lifecycle/gate and all hard dependencies satisfied.,Canonical state read; current gate/authority confirmed; required inputs/access available; no unresolved safety/privacy blocker.,Canonical source baseline; predecessor context USW-00.02.02.002; dependency outputs; applicable requirements and interface contracts.,"Versioned artifact, decision, configuration, result, or evidence record for ""Define authority and conflict precedence"".",ACC-0004,Authority order is recorded and future plans cite evidence or mark uncertainty.,VER-0004,"Peer/reviewer inspection against the stated acceptance criteria, source baseline, dependencies, and required evidence.",EVD-0004,Artifact/version; exact environment or source; test/review output; date; responsible verifier; deviations and disposition.,EVD-0004; historical source evidence as cited,Project Governance,A3,AUTO_ALLOWED,Read canonical state and linked requirements/interfaces; execute the smallest bounded change; verify every criterion; retain privacy-safe evidence; update state only when authorized; reread and reconcile after any canonical write.,GitHub; Markdown/CSV validator; task/governance automation; diff/checksum tools,REQUIRED where repeat execution is technically possible; otherwise detect existing state before change.,REVERSIBLE by default; treat public/production/data/legal/spend actions as controlled or irreversible as applicable.,Retry only after classifying failure and correcting cause; use bounded backoff for transient errors; rollback/restore on partial consequential change; never mark PASS on exhausted verification.,"Escalate on unmet authority, unresolved critical/high risk, contradictory source, acceptance failure after bounded retry, material scope/cost/privacy/security impact, or irreversible action.",RSK-0044,INT-0001; INT-0002,REQ-0001; REQ-0002; REQ-0004; CON-0020; CON-0021; CON-0028,Use approved package/stage budget; record actual cost when material; no invented amount.,Historical → Historical,,UseSafeWeb_Master_Plan-1.4.md::USW-00.02.02.002; canonical repository Yaserbayad/UseSafeWeb.com@c672991229acc7675f1e25b978af6fbdacd04590,USW-00.02.02.002,Completion preserved from authoritative project record. Historical completed work and evidence status are preserved under the package-first architecture.
TSK-0005,WP-0004,PKG-01,PHS-0002,DEL-0003,WP-0004,L0,Select and freeze UseSafeWeb.com,Produce and verify the bounded outcome: Select and freeze UseSafeWeb.com.,COMPLETED_RECORD,PASS,MEDIUM,NO,TSK-0094,FINISH_TO_START unless explicitly stated as trigger/operating input,Applicable lifecycle/gate and all hard dependencies satisfied.,Canonical state read; current gate/authority confirmed; required inputs/access available; no unresolved safety/privacy blocker.,Canonical source baseline; predecessor context USW-00.02.01.001; dependency outputs; applicable requirements and interface contracts.,"Versioned artifact, decision, configuration, result, or evidence record for ""Select and freeze UseSafeWeb.com"".",ACC-0005,UseSafeWeb.com is recorded as frozen in the canonical repository and owner instructions.,VER-0005,"Peer/reviewer inspection against the stated acceptance criteria, source baseline, dependencies, and required evidence.",EVD-0005,Artifact/version; exact environment or source; test/review output; date; responsible verifier; deviations and disposition.,EVD-0005; historical source evidence as cited,Project Owner,A3,AUTO_ALLOWED,Read canonical state and linked requirements/interfaces; execute the smallest bounded change; verify every criterion; retain privacy-safe evidence; update state only when authorized; reread and reconcile after any canonical write.,GitHub; Markdown/CSV validator; task/governance automation; diff/checksum tools,REQUIRED where repeat execution is technically possible; otherwise detect existing state before change.,REVERSIBLE by default; treat public/production/data/legal/spend actions as controlled or irreversible as applicable.,Retry only after classifying failure and correcting cause; use bounded backoff for transient errors; rollback/restore on partial consequential change; never mark PASS on exhausted verification.,"Escalate on unmet authority, unresolved critical/high risk, contradictory source, acceptance failure after bounded retry, material scope/cost/privacy/security impact, or irreversible action.",RSK-0044,INT-0001; INT-0002,REQ-0001; REQ-0002; REQ-0005; CON-0020; CON-0021; CON-0029,Use approved package/stage budget; record actual cost when material; no invented amount.,Historical → Historical,,UseSafeWeb_Master_Plan-1.4.md::USW-00.02.01.001; canonical repository Yaserbayad/UseSafeWeb.com@c672991229acc7675f1e25b978af6fbdacd04590,USW-00.02.01.001,Completion preserved from authoritative project record. Historical completed work and evidence status are preserved under the package-first architecture.
TSK-0006,WP-0005,PKG-01,PHS-0002,DEL-0003,WP-0005,L0,Acquire and verify control of UseSafeWeb.com,Produce and verify the bounded outcome: Acquire and verify control of UseSafeWeb.com.,COMPLETED_EVIDENCE_INCOMPLETE,WAITING,MEDIUM,NO,TSK-0005,FINISH_TO_START unless explicitly stated as trigger/operating input,Applicable lifecycle/gate and all hard dependencies satisfied.,Canonical state read; current gate/authority confirmed; required inputs/access available; no unresolved safety/privacy blocker.,Canonical source baseline; predecessor context USW-00.02.01.002; dependency outputs; applicable requirements and interface contracts.,"Versioned artifact, decision, configuration, result, or evidence record for ""Acquire and verify control of UseSafeWeb.com"".",ACC-0006,"Registrar record, current expiry/renewal status, and authorised owner access are documented without exposing secrets.",VER-0006,Use the approved checklist/test procedure against the exact artifact/environment; retain reproducible outputs and reviewer result.,EVD-0006,Artifact/version; exact environment or source; test/review output; date; responsible verifier; deviations and disposition.,EVD-0006; historical source evidence as cited,Project Owner,A3,AUTO_ALLOWED,Read canonical state and linked requirements/interfaces; execute the smallest bounded change; verify every criterion; retain privacy-safe evidence; update state only when authorized; reread and reconcile after any canonical write.,GitHub; Markdown/CSV validator; task/governance automation; diff/checksum tools,REQUIRED where repeat execution is technically possible; otherwise detect existing state before change.,REVERSIBLE by default; treat public/production/data/legal/spend actions as controlled or irreversible as applicable.,Retry only after classifying failure and correcting cause; use bounded backoff for transient errors; rollback/restore on partial consequential change; never mark PASS on exhausted verification.,"Escalate on unmet authority, unresolved critical/high risk, contradictory source, acceptance failure after bounded retry, material scope/cost/privacy/security impact, or irreversible action.",RSK-0044,INT-0001; INT-0002,REQ-0001; REQ-0002; REQ-0006; CON-0020; CON-0021; CON-0030,Use approved package/stage budget; record actual cost when material; no invented amount.,Historical → Current,,UseSafeWeb_Master_Plan-1.4.md::USW-00.02.01.002; canonical repository Yaserbayad/UseSafeWeb.com@c672991229acc7675f1e25b978af6fbdacd04590,USW-00.02.01.002,"Authoritative completion is preserved, but direct evidence must be backfilled before it can satisfy a direct-evidence successor. Historical completed work and evidence status are preserved under the package-first architecture."
TSK-0007,WP-0006,PKG-01,PHS-0003,DEL-0004,WP-0006,L2,"Define the canonical AI task-selection, authority, execution, verification, evidence, state-update, recovery, and reconciliation loop","Produce and verify the bounded outcome: Define the canonical AI task-selection, authority, execution, verification, evidence, state-update, recovery, and reconciliation loop.",COMPLETED_CANDIDATE,PASS,HIGH,NO,TSK-0016,FINISH_TO_START unless explicitly stated as trigger/operating input,Applicable lifecycle/gate and all hard dependencies satisfied.,Canonical state read; current gate/authority confirmed; required inputs/access available; no unresolved safety/privacy blocker.,Latest owner decisions; canonical project evidence; dependency outputs; applicable package requirements and interface contracts.,"Versioned artifact, implementation, decision, or evidence record for ""Define the canonical AI task-selection, authority, execution, verification, evidence, state-update, recovery, and reconciliation loop"".",ACC-0007,The protocol implements READ -> ELIGIBILITY -> AUTHORITY -> EXECUTE -> VERIFY -> EVIDENCE -> STABLE OUTCOME -> WRITE/READBACK -> RECONCILE -> NEXT and contains no hidden-evidence dependency.,VER-0007,"Peer/reviewer inspection against the stated acceptance criteria, source baseline, dependencies, and required evidence.",EVD-0007,Artifact/version; source or exact environment; verification output; date; verifier; deviations and disposition.,EVD-0007; created at execution or in this candidate for PASS planning tasks,Project Owner,A3,AUTO_ALLOWED,Read canonical state and linked requirements/interfaces; execute the smallest bounded change; verify every criterion; retain privacy-safe evidence; update state only when authorized; reread and reconcile after any canonical write.,GitHub; Markdown/CSV validator; task/governance automation; diff/checksum tools,REQUIRED where repeat execution is technically possible; otherwise detect existing state before change.,REVERSIBLE by default; treat public/production/data/legal/spend actions as controlled or irreversible as applicable.,Retry only after classifying failure and correcting cause; use bounded backoff for transient errors; rollback/restore on partial consequential change; never mark PASS on exhausted verification.,"Escalate on unmet authority, unresolved critical/high risk, contradictory source, acceptance failure after bounded retry, material scope/cost/privacy/security impact, or irreversible action.",RSK-0044,INT-0001; INT-0002,REQ-0001; REQ-0002; CON-0020; CON-0021,Use approved package/stage budget; record actual cost when material; no invented amount.,L2 relative to its gate,,Latest owner master prompt 2026-08-27,,
TSK-0008,WP-0007,PKG-01,PHS-0003,DEL-0004,WP-0007,L2,Freeze the AI-executable task and authority schema,Produce and verify the bounded outcome: Freeze the AI-executable task and authority schema.,COMPLETED_CANDIDATE,PASS,HIGH,NO,TSK-0007,FINISH_TO_START unless explicitly stated as trigger/operating input,Applicable lifecycle/gate and all hard dependencies satisfied.,Canonical state read; current gate/authority confirmed; required inputs/access available; no unresolved safety/privacy blocker.,Latest owner decisions; canonical project evidence; dependency outputs; applicable package requirements and interface contracts.,"Versioned artifact, implementation, decision, or evidence record for ""Freeze the AI-executable task and authority schema"".",ACC-0008,Every executable task has the required metadata; AI capability A0-A4 and Action Authority are distinct; schema validation is automated.,VER-0008,"Peer/reviewer inspection against the stated acceptance criteria, source baseline, dependencies, and required evidence.",EVD-0008,Artifact/version; source or exact environment; verification output; date; verifier; deviations and disposition.,EVD-0008; created at execution or in this candidate for PASS planning tasks,Project Owner,A3,AUTO_ALLOWED,Read canonical state and linked requirements/interfaces; execute the smallest bounded change; verify every criterion; retain privacy-safe evidence; update state only when authorized; reread and reconcile after any canonical write.,GitHub; Markdown/CSV validator; task/governance automation; diff/checksum tools,REQUIRED where repeat execution is technically possible; otherwise detect existing state before change.,REVERSIBLE by default; treat public/production/data/legal/spend actions as controlled or irreversible as applicable.,Retry only after classifying failure and correcting cause; use bounded backoff for transient errors; rollback/restore on partial consequential change; never mark PASS on exhausted verification.,"Escalate on unmet authority, unresolved critical/high risk, contradictory source, acceptance failure after bounded retry, material scope/cost/privacy/security impact, or irreversible action.",RSK-0044,INT-0001; INT-0002,REQ-0001; REQ-0002; CON-0020; CON-0021,Use approved package/stage budget; record actual cost when material; no invented amount.,L2 relative to its gate,,Latest owner master prompt 2026-08-27,,
TSK-0009,WP-0008,PKG-01,PHS-0004,DEL-0005,WP-0008,L2,Publish the owner-frozen modular Master Planning System to GitHub main without altering unrelated state,Produce and verify the bounded outcome: Publish the owner-frozen modular Master Planning System to GitHub main without altering unrelated state.,PLANNED,WAITING,CRITICAL,YES,TSK-0017,FINISH_TO_START unless explicitly stated as trigger/operating input,Owner freeze and explicit GitHub publication authorization.,Canonical state read; current gate/authority confirmed; required inputs/access available; no unresolved safety/privacy blocker.,Latest owner decisions; canonical project evidence; dependency outputs; applicable package requirements and interface contracts.,"Versioned artifact, implementation, decision, or evidence record for ""Publish the owner-frozen modular Master Planning System to GitHub main without altering unrelated state"".",ACC-0009,"The complete approved Plans/ tree is committed under the approved repository root; MANIFEST.yaml, SHA256SUMS.txt, the resulting commit SHA, and repository tree/file read-back evidence are captured; no derived tracker or Generated/MASTER_PLAN_FULL.md is treated as independent authority.",VER-0009,Compare the approved local Plans/ tree to GitHub main file-for-file using MANIFEST.yaml and SHA256SUMS.txt; confirm only authorized paths changed and capture commit/read-back evidence.,EVD-0009,Approved ZIP/tree checksum; MANIFEST.yaml; SHA256SUMS.txt; commit SHA; repository file/tree read-back; unrelated-path diff check; verifier and date.,EVD-0009; created at execution or in this candidate for PASS planning tasks,Project Owner,A2,HUMAN_APPROVAL_REQUIRED,Read canonical state and linked requirements/interfaces; execute the smallest bounded change; verify every criterion; retain privacy-safe evidence; update state only when authorized; reread and reconcile after any canonical write.,GitHub; Markdown/CSV validator; task/governance automation; diff/checksum tools,REQUIRED where repeat execution is technically possible; otherwise detect existing state before change.,REVERSIBLE by default; treat public/production/data/legal/spend actions as controlled or irreversible as applicable.,Retry only after classifying failure and correcting cause; use bounded backoff for transient errors; rollback/restore on partial consequential change; never mark PASS on exhausted verification.,"Escalate on unmet authority, unresolved critical/high risk, contradictory source, acceptance failure after bounded retry, material scope/cost/privacy/security impact, or irreversible action.",RSK-0044,INT-0001; INT-0002,REQ-0001; REQ-0002; CON-0020; CON-0021,Use approved package/stage budget; record actual cost when material; no invented amount.,L2 relative to its gate,,Latest owner master prompt 2026-08-27; Owner pre-canonicalization audit 2026-08-27,,
TSK-0010,WP-0009,PKG-01,PHS-0004,DEL-0005,WP-0009,L2,Update CURRENT_STATE to reference the frozen modular planning system and retain actual LG-03 / legacy G-02 execution state,Produce and verify the bounded outcome: Update CURRENT_STATE to reference the frozen modular planning system and retain actual LG-03 / legacy G-02 execution state.,PLANNED,WAITING,CRITICAL,YES,TSK-0011,FINISH_TO_START unless explicitly stated as trigger/operating input,Applicable lifecycle/gate and all hard dependencies satisfied.,Canonical state read; current gate/authority confirmed; required inputs/access available; no unresolved safety/privacy blocker.,Latest owner decisions; canonical project evidence; dependency outputs; applicable package requirements and interface contracts.,"Versioned artifact, implementation, decision, or evidence record for ""Update CURRENT_STATE to reference the frozen modular planning system and retain actual LG-03 / legacy G-02 execution state"".",ACC-0010,"CURRENT_STATE identifies Plans/Master/MASTER_PLAN.md and MANIFEST.yaml plus the publication commit/tree/checksum set as planning authority, preserves actual evidence/status, records accountless/recovery decisions, maps LG-03 to legacy G-02, and names exact eligible readiness work.",VER-0010,"Peer/reviewer inspection against the stated acceptance criteria, source baseline, dependencies, and required evidence.",EVD-0010,Artifact/version; source or exact environment; verification output; date; verifier; deviations and disposition.,EVD-0010; created at execution or in this candidate for PASS planning tasks,Project Owner,A2,HUMAN_APPROVAL_REQUIRED,Read canonical state and linked requirements/interfaces; execute the smallest bounded change; verify every criterion; retain privacy-safe evidence; update state only when authorized; reread and reconcile after any canonical write.,GitHub; Markdown/CSV validator; task/governance automation; diff/checksum tools,REQUIRED where repeat execution is technically possible; otherwise detect existing state before change.,REVERSIBLE by default; treat public/production/data/legal/spend actions as controlled or irreversible as applicable.,Retry only after classifying failure and correcting cause; use bounded backoff for transient errors; rollback/restore on partial consequential change; never mark PASS on exhausted verification.,"Escalate on unmet authority, unresolved critical/high risk, contradictory source, acceptance failure after bounded retry, material scope/cost/privacy/security impact, or irreversible action.",RSK-0044,INT-0001; INT-0002,REQ-0001; REQ-0002; CON-0020; CON-0021,Use approved package/stage budget; record actual cost when material; no invented amount.,L2 relative to its gate,,Latest owner master prompt 2026-08-27; Owner pre-canonicalization audit 2026-08-27,,
